DATA_DADES;HOMES;SECCIO_CENSAL;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
30/03/15;741;01001;573;164;114;818;218;742;129;443
30/03/15;838;01002;687;157;187;953;228;728;141;656
30/03/15;1840;01003;1570;652;361;1951;446;1869;221;1320
30/03/15;1530;01004;1229;371;301;1762;325;1610;241;908
30/03/15;1413;01005;1052;291;209;1601;364;1349;282;834
30/03/15;896;01006;666;152;153;1050;207;750;222;590
30/03/15;1251;01007;781;265;193;1418;156;998;179;855
30/03/15;2085;01008;1331;472;412;2138;394;1466;217;1733
30/03/15;1205;01009;972;264;237;1365;311;1127;157;893
30/03/15;1384;01010;1005;342;278;1544;225;1006;140;1243
30/03/15;1940;01011;1431;486;367;2204;314;1526;251;1594
30/03/15;962;01012;897;232;191;1198;238;1060;117;682
30/03/15;663;01013;696;171;114;823;251;870;76;413
30/03/15;1042;01014;921;222;203;1318;220;1100;137;726
30/03/15;1172;01015;1117;286;238;1466;299;1240;124;925
30/03/15;1107;01016;1086;265;214;1468;246;1058;139;996
30/03/15;1359;01017;1281;353;267;1776;244;1270;190;1180
30/03/15;824;01018;735;175;159;984;241;885;111;563
30/03/15;1526;01019;1239;272;307;1846;340;1378;261;1126
30/03/15;966;01020;1080;168;168;1335;375;1331;333;382
30/03/15;981;01021;980;152;176;1331;302;1246;298;417
30/03/15;545;01022;632;104;97;763;213;806;191;180
30/03/15;902;01023;1015;147;150;1295;325;1334;255;328
30/03/15;628;01025;610;115;93;855;175;746;247;245
30/03/15;1223;01026;891;175;187;1502;250;1117;431;566
30/03/15;836;01027;753;126;151;1047;265;937;327;325
30/03/15;989;01028;900;161;166;1307;255;1083;334;472
30/03/15;691;01029;642;83;136;934;180;710;325;298
30/03/15;1255;01030;1116;219;203;1514;435;1462;389;520
30/03/15;926;01031;690;137;135;1135;209;802;323;491
30/03/15;890;01032;889;131;148;1121;379;1161;329;289
30/03/15;593;01033;495;92;91;703;202;731;145;212
30/03/15;500;01034;511;72;81;648;210;678;164;169
30/03/15;676;01035;647;106;93;873;251;856;196;271
30/03/15;549;01036;637;107;137;687;255;975;77;134
30/03/15;691;01037;773;167;124;884;289;1164;139;161
30/03/15;767;01038;714;138;126;994;223;873;259;349
30/03/15;642;01039;636;114;124;780;260;944;124;210
30/03/15;553;01040;550;101;76;707;219;720;175;208
30/03/15;761;01041;714;112;123;1057;183;816;293;366
30/03/15;817;01042;960;173;126;947;531;1481;118;178
30/03/15;652;01043;623;118;81;905;171;811;275;189
30/03/15;694;01044;747;174;83;976;208;972;274;195
30/03/15;984;01045;978;141;134;1374;313;1167;454;341
30/03/15;836;01046;821;134;133;1153;237;1015;321;321
30/03/15;855;01047;963;163;139;1216;300;1059;330;429
30/03/15;1121;01048;1062;254;170;1447;312;1303;348;532
30/03/15;706;01049;762;174;121;937;236;915;224;329
30/03/15;835;01050;766;157;139;1069;236;959;226;416
30/03/15;899;01051;900;196;161;1252;190;995;288;516
30/03/15;1252;01052;1136;246;325;1473;344;1434;415;539
30/03/15;970;01053;1015;171;166;1290;358;1282;287;416
30/03/15;664;01054;659;110;120;900;193;802;227;294
30/03/15;604;01055;681;129;98;723;335;990;149;146
30/03/15;609;02001;683;190;89;782;231;977;97;218
30/03/15;1187;02002;1016;226;154;1358;465;1568;192;443
30/03/15;556;02003;729;137;164;643;341;1082;74;129
30/03/15;730;02004;763;162;141;882;308;1132;139;222
30/03/15;977;02005;1123;260;174;1168;498;1774;103;223
30/03/15;774;02006;848;217;113;903;389;1302;122;198
30/03/15;519;02007;708;115;100;690;322;1026;98;103
30/03/15;848;02008;998;219;190;1035;402;1532;144;170
30/03/15;800;02009;941;209;155;1028;349;1405;99;237
30/03/15;531;02010;627;139;98;676;245;986;82;90
30/03/15;524;02011;571;124;104;623;244;984;53;58
30/03/15;775;02012;798;173;128;977;295;1256;93;224
30/03/15;530;02013;589;143;83;688;205;909;88;122
30/03/15;641;02014;682;164;98;840;221;958;158;207
30/03/15;715;02015;829;161;123;898;362;1243;98;203
30/03/15;816;02016;1001;195;120;1098;404;1548;105;164
30/03/15;899;02017;1038;232;191;1118;396;1584;135;218
30/03/15;857;02018;984;210;137;998;496;1575;87;179
30/03/15;906;02019;1049;238;157;1105;455;1651;96;208
30/03/15;630;02020;753;135;119;870;259;1074;116;193
30/03/15;674;02021;778;128;96;855;373;1206;94;152
30/03/15;612;02022;656;153;112;729;274;1026;54;188
30/03/15;520;02023;571;94;100;634;263;969;36;86
30/03/15;501;02024;626;94;118;692;223;909;63;155
30/03/15;554;02025;622;109;82;706;279;979;68;129
30/03/15;993;02026;1163;244;185;1261;466;1774;116;266
30/03/15;920;02027;1093;210;156;1173;474;1714;93;206
30/03/15;942;02028;1112;208;196;1226;424;1700;98;256
30/03/15;533;02029;625;134;87;688;249;955;76;127
30/03/15;574;02030;634;141;89;699;279;1021;52;135
