SOA Code,SOA Name,Ward Name,Locality,District/Borough,Total Population,"% of Total Population aged 60+ (Females), 65+ (Males)"
E01031175,Overslade South East,Overslade,Rugby Town West,Rugby,"1,335",41.7%
E01031204,Wootton Wawen,Henley,"Alcester, Studley & Henley",Stratford-on-Avon,"1,286",41.1%
E01031104,St Nicolas North & College,St. Nicolas,Weddington & St. Nicolas,Nuneaton & Bedworth,"1,453",40.0%
E01031135,Bilton South Cock Robin,Bilton,Rugby Town West ,Rugby,"1,588",39.1%
E01031069,Bulkington North,Bulkington,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,487",38.7%
E01031279,Cubbington East,Cubbington,Warwick Rural ,Warwick,"1,506",37.2%
E01031147,Thurlaston,Dunchurch and Knightlow,Rugby Rural ,Rugby,"1,499",36.3%
E01031305,Thickthorn & Castle End,St John's,Kenilworth ,Warwick,"1,543",36.2%
E01031134,Bilton East,Bilton,Rugby Town West ,Rugby,"1,704",35.6%
E01031068,Bulkington South East,Bulkington,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,672",34.9%
E01031158,Eastlands Abbots,Eastlands,Rugby Town East ,Rugby,"1,041",34.9%
E01031234,Old Town & Town Centre South,Stratford Guild and Hathaway,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,625",33.7%
E01031288,Manor West,Manor,North Leamington ,Warwick,"1,599",33.5%
E01031202,Henley West,Henley,"Alcester, Studley & Henley ",Stratford-on-Avon,"1,514",33.4%
E01031235,Old Town,Stratford Guild and Hathaway,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,970",32.4%
E01031317,"Bridge End, Castle & Stratford Rd East",Warwick South,Warwick ,Warwick,"1,530",32.4%
E01031178,Overslade West,Overslade,Rugby Town West ,Rugby,"1,300",32.2%
E01031053,Attleborough North West,Attleborough,Whitestone & Bulkington/Abbey & Wem Brook,Nuneaton & Bedworth,"1,502",32.0%
E01031295,Milverton North,Milverton,North Leamington ,Warwick,"1,180",31.9%
E01031070,Bulkington Arden,Bulkington,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,467",31.8%
E01031067,Bulkington Village,Bulkington,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,515",31.8%
